manufacturer,age,training_before[Y/N],gender,body_fat[%],smoking[Y/N],alcohol_times_week,occupation,education,marital_status,kids,location,N sessions/w 1m1w,N sessions/w 1m2w,N sessions/w 1m3w,N sessions/w 1y1w,N sessions/w 1y2w,N sessions/w 1y3w
xiaomi,38,False,F,37,False,1,Therapeutic radiographer,phd,separated,2,"978 Amy Views Apt. 442
Port Stephen, FM 49067",4,4,4,3,3,3
garmin,56,True,F,16,False,3,Science writer,school,widowed,1,"855 Nicholas Locks Apt. 186
East Mikeville, CT 42876",4,3,4,3,2,3
fitbit,18,True,F,21,False,2,,school,single,0,"7825 Hall Walks
Jonesmouth, WV 46182",3,2,2,3,2,2
garmin,47,True,M,12,False,2,IT sales professional,school,widowed,0,"309 Judy Estate Apt. 226
East Frederick, DC 27464",4,3,5,4,3,4
apple,40,True,F,19,False,2,Further education lecturer,phd,married,0,"69631 Kyle Square
Wardside, PA 23209",4,4,4,4,4,4
xiaomi,24,True,M,20,False,3,Sales executive,master,divorced,2,"7768 Jasmine Terrace
Josephberg, UT 62138",3,2,3,2,1,2
sony,63,True,F,20,False,1,Cabin crew,bachelor,single,0,"372 Kristine Curve Suite 939
New Zacharyside, NY 54012",4,3,4,4,3,4
garmin,46,True,F,23,False,0,Oncologist,school,married,0,"USNV Martinez
FPO AP 74180",3,3,3,3,3,3
fitbit,32,True,F,23,False,0,Mudlogger,school,divorced,3,"09987 Santiago Island
Lake Lauren, AS 88679",2,3,4,2,3,4
huawei,33,True,M,19,False,1,Rural practice surveyor,master,single,0,"868 Gilbert Field
Tammyville, IN 88085",2,2,3,2,2,3
garmin,32,False,F,25,False,2,Geochemist,bachelor,divorced,1,"PSC 9194, Box 8476
APO AE 29193",4,4,4,4,4,4
sony,38,False,M,29,True,0,"Psychologist, forensic",school,divorced,0,"827 Wanda Valley Apt. 287
Davisside, DE 62113",3,4,2,2,2,1
huawei,33,True,M,13,False,0,Statistician,bachelor,separated,2,"21567 Edwards Greens
New Lauraberg, NV 61637",3,4,4,3,4,4
apple,22,False,M,14,True,3,Energy engineer,bachelor,married,2,"655 Howard Forest Apt. 800
Colemanfurt, NH 60435",3,3,4,1,1,1
fitbit,56,False,M,13,True,1,Civil Service administrator,master,widowed,2,"7341 Arroyo Islands Apt. 710
Leeborough, HI 82128",4,5,4,2,3,2
sony,22,True,F,15,False,3,Furniture conservator/restorer,master,single,1,"5934 Fleming Path
East Angela, NY 75307",4,5,5,3,4,4
xiaomi,40,True,F,25,True,0,Financial planner,bachelor,married,3,"368 William Mount Apt. 246
West Donald, NY 80610",3,4,3,3,4,3
apple,21,True,F,19,False,0,,school,divorced,0,"696 Nicholas River
Youngstad, NM 46826",4,4,5,4,4,4
huawei,45,True,F,29,True,0,Acupuncturist,master,divorced,2,"349 Callahan Plain
Ryanshire, KS 27707",3,3,3,2,2,2
coospo,42,True,M,10,True,2,Financial planner,school,married,1,"318 Morris Light
East Dianebury, TX 77145",3,4,3,3,4,3
garmin,30,True,F,21,False,0,"Therapist, music",school,single,0,"9325 George Freeway Suite 381
New Judyville, WY 68416",4,4,2,4,4,2
garmin,42,False,M,20,False,1,Housing manager/officer,master,single,3,"94158 Mcdaniel Valleys
Davidview, WA 81611",3,3,3,2,2,2
coospo,55,True,M,11,False,0,Glass blower/designer,school,single,2,"499 Jose Underpass Apt. 483
Lake Amandashire, IN 69496",3,2,3,3,2,3
xiaomi,26,True,M,18,False,2,Social researcher,bachelor,single,1,"72845 Yates Tunnel
Robertmouth, MO 53539",3,5,5,3,5,5
coospo,31,True,F,22,True,3,Civil Service fast streamer,phd,separated,3,"8362 Jeffrey Circle Suite 503
Josephhaven, GU 38651",3,5,5,2,4,4
garmin,20,True,F,24,True,3,,school,separated,0,"PSC 9515, Box 7185
APO AP 94472",4,2,2,2,1,1
oura,60,True,F,27,True,3,"Psychotherapist, child",school,married,3,"PSC 5042, Box 4479
APO AA 21449",4,4,4,1,1,1
huawei,30,False,F,25,False,0,Police officer,school,single,0,"215 Evans Prairie
Michellebury, AR 64739",3,2,3,3,2,3
xiaomi,25,True,M,10,False,3,Actuary,bachelor,single,2,"56482 Michael Throughway
Davidmouth, KS 76025",3,4,4,3,4,4
apple,65,False,F,18,False,0,Clinical research associate,master,married,0,"0711 Thomas Field
Diazmouth, MI 81036",2,3,3,2,2,2
huawei,42,True,F,15,False,0,Licensed conveyancer,phd,divorced,1,"0815 Fox Motorway Suite 877
West Ericberg, KY 43992",4,3,3,4,3,3
apple,20,True,M,8,False,0,,school,separated,0,"053 Cynthia Cape
West Robinhaven, CO 03783",3,2,2,3,2,2
xiaomi,55,True,F,19,False,3,Stage manager,phd,married,1,"646 Young Neck Suite 141
South Cindy, PA 30666",3,3,5,2,2,4
xiaomi,40,True,F,19,True,0,Health visitor,phd,divorced,3,"845 Larry Underpass Apt. 864
East Rebecca, MP 35305",3,3,3,3,3,3
huawei,39,True,M,10,False,2,"Doctor, general practice",phd,separated,2,"PSC 8635, Box 8357
APO AP 08510",4,5,5,4,5,5
fitbit,47,True,F,22,False,1,Technical sales engineer,phd,married,1,"366 Alexander Mountains Suite 577
Alexanderside, NV 62713",3,3,3,3,3,3
huawei,61,True,F,18,False,2,Advertising copywriter,phd,married,2,"Unit 9189 Box 3631
DPO AP 87267",2,4,2,2,4,2
sony,25,True,F,14,False,0,English as a second language teacher,master,divorced,1,"89059 Amber Estate Apt. 662
Gonzalezhaven, UT 32046",3,3,3,3,3,3
oura,43,True,M,13,False,3,Retail manager,master,divorced,2,"Unit 0103 Box 3442
DPO AA 38517",3,4,3,3,4,3
apple,64,True,F,15,False,1,"Surveyor, commercial/residential",bachelor,married,3,"0343 Colton Field Suite 585
South Lisamouth, NY 16360",2,4,2,2,4,2
apple,40,True,M,13,False,2,"Biochemist, clinical",bachelor,widowed,3,"76160 Moody Rapids Apt. 057
Millertown, AZ 12359",4,3,3,4,3,3
fitbit,45,True,M,16,True,1,Scientific laboratory technician,school,widowed,2,"83810 Tammy Islands
Jacobstad, FL 68931",5,5,2,4,4,2
oura,20,True,M,21,False,2,,school,married,0,"289 Nicole Meadow
Andersonmouth, IN 09468",3,4,4,2,3,3
fitbit,41,True,M,10,False,0,Further education lecturer,school,divorced,3,"2063 Michael Falls
Alexisside, IN 93282",3,3,3,3,3,3
sony,27,True,M,19,True,1,Building control surveyor,bachelor,married,1,"48984 Ruiz Unions Apt. 125
Lorimouth, TN 74422",5,3,3,4,2,2
xiaomi,32,True,F,27,False,1,Sports coach,school,married,0,"6643 Timothy Trace
Taylorborough, DC 11351",4,3,4,4,3,4
xiaomi,19,True,F,18,False,2,,school,single,0,"PSC 2262, Box 5102
APO AA 32329",3,4,3,3,4,3
apple,41,False,F,22,False,1,"Engineer, energy",master,divorced,2,"5756 Odom Path Apt. 160
East Nathanielburgh, MH 62160",3,3,3,3,3,3
fitbit,44,True,F,20,False,3,Tax adviser,bachelor,married,1,"001 Barbara Mount
Tracyfort, PW 49445",2,3,4,2,3,4
sony,56,True,M,21,False,0,Prison officer,master,divorced,1,"875 Campbell Alley Apt. 483
Adammouth, IA 13921",4,4,3,3,3,2
sony,33,False,M,21,False,2,"Optician, dispensing",phd,single,2,"5457 Morgan Loaf Suite 680
Crystalberg, MP 93451",4,3,3,3,2,2
coospo,24,True,F,15,False,0,"Conservation officer, historic buildings",master,married,0,"51699 Diane Plains Suite 840
Lake Ashleymouth, MD 31938",3,4,3,3,4,3
oura,63,True,M,13,False,3,Site engineer,master,widowed,1,"21390 Miller Junctions
Rachelfurt, CT 84711",3,4,3,2,3,2
apple,18,True,M,13,False,3,,school,single,0,"7363 Stevens Overpass
Davischester, NY 61231",3,3,3,2,2,2
apple,45,True,F,15,False,0,Educational psychologist,master,widowed,2,"Unit 3016 Box 6141
DPO AA 24423",3,2,3,3,2,3
apple,56,False,M,25,False,0,"Engineer, drilling",phd,separated,2,"USNS Hensley
FPO AE 85301",3,3,3,2,2,2
oura,26,False,M,14,True,0,Hospital doctor,master,single,0,"6476 James Isle Suite 565
New Tarafort, AL 28235",3,3,3,2,2,2
apple,33,True,F,21,False,1,Heritage manager,phd,single,3,"50031 Rhodes Expressway
Port Tammy, NJ 40765",3,3,3,3,3,3
garmin,49,True,M,15,False,1,Chiropractor,school,single,3,"713 Lyons Keys
Kiarashire, MO 17400",4,4,4,4,4,4
huawei,42,True,M,11,True,1,Building control surveyor,school,single,3,"5757 Miller Path
West Michelle, MH 66952",2,2,2,2,2,2
apple,27,False,M,17,False,1,Chiropractor,master,separated,0,"Unit 7899 Box 6396
DPO AA 55410",3,3,4,3,3,4
xiaomi,62,False,F,37,False,3,"Engineer, structural",bachelor,separated,1,"576 Rice Orchard Suite 538
Munozmouth, TX 70777",4,2,4,1,1,1
coospo,36,True,M,8,False,1,Ship broker,bachelor,divorced,0,"07172 Nelson Roads Apt. 574
Omarville, ME 13076",3,3,3,3,3,3
sony,43,True,M,19,False,0,"Restaurant manager, fast food",master,single,2,"5547 Tyler Port Suite 974
East William, WI 76391",2,3,2,2,3,2
garmin,34,True,F,24,False,0,Building surveyor,school,married,0,"19459 Davis Wall Apt. 577
West Collin, NM 85060",4,5,5,4,5,5
fitbit,37,True,F,25,False,2,Pension scheme manager,bachelor,divorced,1,"Unit 8006 Box 3862
DPO AP 83557",3,3,3,3,3,3
apple,29,True,F,17,True,0,"Engineer, electronics",bachelor,married,2,"279 Jared Dale Apt. 966
Harmonfort, MO 01940",3,5,5,3,4,4
sony,37,True,F,21,True,2,Astronomer,phd,separated,1,"47263 Weaver Spur Apt. 512
Jensenborough, MH 36813",4,4,4,4,4,4
fitbit,39,True,M,15,False,1,Acupuncturist,phd,single,3,"645 Meredith Green
Lake Valerie, KY 01545",3,4,4,3,4,4
garmin,24,True,F,17,False,0,"Editor, magazine features",master,divorced,0,"963 Megan Drive Suite 142
Jamesburgh, NJ 71019",3,2,3,3,2,3
xiaomi,21,True,F,22,False,1,,school,single,0,"9448 Greer Mission
East Deborahberg, AK 70749",2,3,2,2,3,2
huawei,37,False,M,16,True,0,Diagnostic radiographer,phd,separated,1,"743 Calderon Hollow Suite 548
Port Ann, KS 84810",3,3,3,2,2,2
apple,25,True,M,13,False,2,Community education officer,master,divorced,0,"PSC 9504, Box 7183
APO AP 41016",2,3,4,2,3,4
apple,36,True,M,19,False,2,Careers adviser,school,single,3,"7142 Knight Stravenue Apt. 530
East Franciscoport, TX 81439",3,3,4,3,3,4
garmin,52,True,M,11,False,1,Minerals surveyor,bachelor,single,1,"883 Anderson Inlet Suite 012
Sanchezberg, IA 79035",4,3,3,4,3,3
apple,24,False,M,17,False,1,Arts administrator,master,separated,1,"7065 Sosa Islands Suite 439
Port James, MI 54219",3,3,2,2,2,2
coospo,38,False,M,13,False,3,Marketing executive,phd,single,2,"797 Kevin Plains
Alanchester, DE 90553",4,3,2,3,2,2
huawei,36,False,F,39,False,2,Dietitian,master,married,1,"90339 Forbes Summit Suite 840
Michaelchester, SC 12377",3,3,3,2,2,2
apple,53,True,F,18,False,0,"Designer, blown glass/stained glass",school,widowed,2,"3769 Knapp Mill
North Sarahfurt, SD 70748",4,5,3,4,4,3
sony,64,True,F,17,False,1,"Scientist, physiological",phd,separated,1,"4608 Macdonald Coves
East Michael, RI 58807",4,2,3,4,2,3
garmin,23,False,M,21,False,1,"Scientist, clinical (histocompatibility and immunogenetics)",master,single,1,"12908 Anthony Rapid Suite 326
East Arieltown, CA 57676",3,3,3,2,2,2
oura,58,True,F,26,False,0,"Surveyor, mining",phd,single,0,"2568 Heather Mount
West Garrett, OR 66124",2,2,4,2,2,3
sony,57,True,M,19,False,0,Legal executive,bachelor,separated,0,"Unit 7289 Box 3454
DPO AA 51147",3,2,2,2,2,2
coospo,60,True,F,18,True,1,"Engineer, land",school,single,3,"USCGC Wallace
FPO AA 10075",3,4,3,2,3,2
oura,51,True,F,28,True,1,Chemical engineer,master,widowed,3,"3380 Amanda Glens
Rodriguezchester, AK 82729",2,4,2,1,2,1
xiaomi,51,True,M,19,False,2,Personal assistant,school,divorced,1,"239 Pamela Valleys Suite 623
Lake Tammybury, MS 57985",2,2,2,2,2,2
coospo,43,True,M,15,False,3,Clinical cytogeneticist,bachelor,divorced,1,"06431 Phillips Highway
Taraton, NY 13121",3,3,3,3,3,3
fitbit,44,True,M,10,False,2,Insurance account manager,bachelor,separated,3,"8697 Richard Mountain
North Rhondaville, WY 94255",4,5,3,4,5,3
coospo,36,True,M,18,False,0,"Social research officer, government",phd,married,2,"08172 Zachary Row Suite 071
South Vickie, NM 71213",3,3,3,3,3,3
fitbit,56,True,F,19,False,2,Advertising copywriter,phd,married,2,"679 Ryan Cliffs
Port Carolbury, PR 46311",3,5,3,3,4,3
sony,43,True,M,15,False,0,Musician,bachelor,single,1,"01144 Morton Path
Bradleytown, PA 15708",2,2,2,2,2,2
garmin,26,True,M,17,False,0,"Chemist, analytical",bachelor,divorced,0,"779 Villarreal Viaduct Suite 263
Erinhaven, IL 91330",3,2,5,3,2,5
garmin,36,True,M,11,False,0,Theme park manager,master,separated,0,"6062 Miller Drives
Theresafurt, NM 75063",2,5,4,2,5,4
coospo,54,True,F,25,False,0,Science writer,school,widowed,1,"966 Collins Village Apt. 743
New Melody, NV 21693",3,3,3,3,3,3
coospo,56,True,F,23,False,1,Oceanographer,master,married,2,"3635 Munoz Islands Apt. 249
Port Michael, AK 22745",3,3,5,3,3,4
garmin,61,True,M,11,False,3,Insurance broker,bachelor,widowed,1,"638 Brittany Pike Suite 996
South Janicechester, DE 64005",3,3,3,2,2,2
huawei,31,True,F,27,True,0,Catering manager,phd,married,2,"4945 Michael Lakes Suite 212
Janetchester, CA 90945",3,3,3,2,2,2
sony,35,True,M,8,False,3,Exhibition designer,phd,single,1,"872 Shannon Terrace
Port Aliceland, AK 62551",2,4,3,2,4,3
garmin,52,False,M,18,False,0,Theatre director,bachelor,married,2,"4244 Tasha Plains
North Kimberly, AK 19861",3,2,3,2,2,2
xiaomi,60,True,M,20,False,0,Horticultural consultant,bachelor,separated,0,"4934 Cordova Radial
Maryton, DE 23733",2,3,3,2,2,2
fitbit,50,True,M,9,False,0,Architect,bachelor,separated,2,"2853 Randy Place Suite 843
New Carlosmouth, PA 51286",2,4,2,2,4,2
xiaomi,56,True,F,28,False,1,"Engineer, energy",phd,married,0,"1586 James Lights
West Mariashire, WV 54305",5,5,2,4,4,2
huawei,63,False,F,20,False,2,Wellsite geologist,master,married,0,"9743 Carrie Trail
Robertshire, MO 11990",2,4,3,2,3,2
huawei,24,True,M,11,False,2,"Investment banker, operational",bachelor,separated,1,"68594 Meza Rapids
Hardytown, MA 64437",3,3,3,3,3,3
apple,29,True,M,18,True,3,Set designer,phd,married,2,"Unit 6111 Box 7892
DPO AE 94288",5,5,3,4,4,2
apple,44,True,M,8,False,2,Insurance account manager,phd,widowed,2,"090 Lloyd Extension
Port Linda, MD 82645",3,3,3,3,3,3
xiaomi,23,False,F,31,False,0,Soil scientist,master,married,1,"165 Wendy Forge Suite 393
Luisfort, CO 49584",3,5,5,2,3,3
garmin,26,True,F,22,True,1,Garment/textile technologist,bachelor,single,1,"388 Christy Meadow
Robertport, NJ 15064",4,5,5,4,4,4
garmin,19,True,M,21,True,2,,school,single,0,"3212 Fowler Branch Apt. 430
Christopherview, ME 84795",3,4,4,2,2,2
coospo,54,True,M,12,False,0,Cabin crew,phd,separated,3,"397 Heather Burg
Stephaniehaven, NC 77846",5,3,3,4,3,3
garmin,29,True,F,16,True,0,Occupational therapist,school,married,2,"62559 Christopher Lake
Randallhaven, DE 09696",3,2,3,3,2,3
huawei,29,True,M,9,False,3,Recruitment consultant,school,separated,2,"Unit 5253 Box 6989
DPO AE 35816",4,4,4,4,4,4
fitbit,51,True,F,23,False,2,Tourist information centre manager,phd,single,2,"4198 Weber Highway Apt. 333
Whiteview, RI 09608",2,3,2,2,3,2
coospo,43,False,F,24,False,1,Nutritional therapist,bachelor,widowed,2,"101 Young Branch Suite 648
New Josephborough, VA 75031",3,3,3,3,3,3
huawei,51,True,F,22,False,0,Data processing manager,master,widowed,0,"74870 Morgan Springs
Kristintown, VT 12899",3,3,3,3,3,3
huawei,51,True,F,24,False,0,Tax adviser,phd,single,2,"586 Kathleen Canyon
Amandamouth, GA 10208",3,3,3,3,3,3
oura,43,True,M,13,False,0,Charity officer,phd,divorced,3,"8424 Sosa Mission Suite 494
Davidberg, IL 19618",4,4,3,4,4,3
huawei,38,True,F,24,True,3,Press photographer,school,single,3,"078 Rogers Junction
Tranport, OK 22842",3,3,3,2,2,2
garmin,40,True,F,29,True,2,"Surveyor, planning and development",school,married,0,"31501 Bryant Via
Berrytown, MD 15835",4,3,5,3,2,4
oura,26,True,F,22,False,2,International aid/development worker,bachelor,single,0,"6015 Williams Lights
West Jamesfort, FM 46136",3,3,3,3,3,3
coospo,18,True,M,8,False,0,,school,single,0,"6670 Stephanie Glen
South Michaelhaven, VA 89031",3,5,3,3,4,3
apple,34,False,M,14,False,2,Toxicologist,master,separated,3,"383 Harrington Pines
South Mary, NC 48348",4,2,3,4,2,3
sony,45,True,M,11,False,1,"Editor, commissioning",master,divorced,1,"060 Kenneth Overpass
South Joshua, WA 18341",3,4,4,3,4,4
oura,30,True,F,25,False,2,"Therapist, horticultural",school,divorced,0,"5776 Hart Expressway
South Tamara, TX 90881",3,3,3,3,3,3
oura,39,True,M,10,False,0,Insurance underwriter,master,divorced,1,"7708 Anderson Harbor
Johnsonfurt, NV 00521",3,3,2,3,3,2
sony,39,False,M,20,True,1,Youth worker,master,single,0,"8482 Nichols Underpass Suite 793
New Heather, ID 88050",4,4,3,2,2,2
oura,25,True,F,22,False,2,Youth worker,bachelor,divorced,0,"0467 Wood Glens
Russellshire, FM 42114",2,4,5,2,4,5
coospo,28,True,M,12,False,0,Sub,phd,married,1,"650 Fischer Trafficway Suite 885
Lake Leslie, NM 28471",3,5,3,3,5,3
coospo,35,True,M,21,False,1,Air cabin crew,bachelor,divorced,2,"51094 Ellis Plaza
Manningchester, ND 12665",3,3,2,3,3,2
apple,64,True,F,27,False,2,Ambulance person,school,separated,0,"032 Kyle Flat
West Brandiborough, MA 12402",3,3,4,2,2,3
fitbit,22,False,M,29,False,0,Marine scientist,bachelor,separated,1,"Unit 7645 Box 3969
DPO AP 72675",3,5,3,2,3,2
garmin,27,False,M,21,True,1,Field seismologist,master,married,1,"9087 Davis Spring Suite 554
Woodsshire, AL 77539",3,3,2,2,2,1
apple,45,True,M,21,False,2,Sub,bachelor,separated,2,"3339 Thompson Courts
West Jennymouth, RI 77966",3,4,4,3,4,4
oura,19,True,M,11,False,2,,school,single,0,"6698 Madison Cape
Michaelburgh, PR 67545",3,3,3,3,3,3
sony,43,False,M,25,True,2,Sport and exercise psychologist,master,single,0,"60708 Pineda Plain Apt. 204
Lake Caseyshire, VT 85479",5,4,4,3,2,2
garmin,25,True,F,29,False,1,Transport planner,master,single,2,"322 Hernandez Route Suite 225
Stephanieside, OK 43542",3,4,3,3,4,3
xiaomi,45,False,F,35,False,2,Geophysical data processor,phd,separated,0,"836 Lindsay Viaduct
Kellytown, CO 93621",3,3,3,2,2,2
oura,45,True,M,9,True,0,"Copywriter, advertising",bachelor,single,3,"931 Morse Junction Apt. 404
South Mariafort, ID 43620",4,4,4,4,4,4
coospo,25,True,F,23,False,2,Estate manager/land agent,bachelor,married,2,"46850 Wells Loaf Suite 780
Poncetown, PA 92780",3,2,3,3,2,3
xiaomi,26,True,M,8,False,0,Ophthalmologist,master,married,0,"948 John Isle Apt. 802
Karenfort, CT 47447",4,4,3,4,4,3
sony,21,False,F,38,True,2,,school,separated,0,"008 Cathy Inlet
Wellsland, GA 97549",3,2,2,1,1,1
oura,28,False,M,19,False,1,Optometrist,school,single,1,"43448 Jefferson Prairie
East Taylor, MT 34233",4,2,2,3,2,2
apple,37,False,M,22,False,1,Electrical engineer,bachelor,single,1,"04214 Jason Hollow Apt. 080
Friedmanbury, OK 98226",5,5,3,4,4,2
oura,36,False,M,21,False,2,Chief Executive Officer,school,separated,0,"171 Michele Pike Suite 712
Perkinshaven, OK 56060",4,4,3,3,3,2
garmin,28,True,M,12,False,1,Accommodation manager,school,separated,0,"8335 Andres Common
Shawnachester, UT 14162",2,3,3,2,3,3
sony,36,True,F,20,False,1,Trade union research officer,master,single,0,"5455 Mejia Turnpike
Woodside, WI 64151",3,3,3,3,3,3
oura,35,True,F,17,False,3,Outdoor activities/education manager,phd,married,1,"286 Clay Lake Apt. 624
Port Kristen, WI 75947",3,3,3,3,3,3
sony,25,False,M,29,False,2,Psychiatrist,bachelor,single,0,"1267 Horn Oval
Simmonsshire, FM 21906",3,4,4,2,3,3
sony,45,True,M,18,True,0,Haematologist,phd,single,3,"15679 Michael Terrace
Olsenmouth, MP 25729",4,4,4,4,4,4
sony,25,True,F,24,True,0,Production manager,master,married,0,"991 Paula Plain Suite 026
Rogerchester, IL 34938",2,2,2,2,2,2
